Title,Year,Certification,Genre,Runtime,Rating,Staring
The Boys,(2019– ),TV-MA,"Action, Crime, Drama",60 min,8.7,"Stars: Karl Urban, Jack Quaid, Antony Starr, Erin Moriarty"
Better Call Saul,(2015–2022),TV-MA,"Crime, Drama",46 min,8.8,"Stars: Bob Odenkirk, Rhea Seehorn, Jonathan Banks, Michael Mando"
The Lincoln Lawyer,(2022– ),TV-MA,"Crime, Drama, Mystery",60 min,7.7,"Stars: Manuel Garcia-Rulfo, Neve Campbell, Becki Newton, Angus Sampson"
The Staircase,(2022),TV-MA,"Biography, Crime, Drama",,7.4,"Stars: Colin Firth, Toni Collette, Michael Stuhlbarg, Patrick Schwarzenegger"
Ozark,(2017–2022),TV-MA,"Crime, Drama, Thriller",60 min,8.5,"Stars: Jason Bateman, Laura Linney, Sofia Hublitz, Skylar Gaertner"
The Batman,(2022),PG-13,"Action, Crime, Drama",176 min,7.9,"Director: Matt Reeves | Stars: Robert Pattinson, Zoë Kravitz, Jeffrey Wright, Colin Farrell"
Barry,(2018– ),TV-MA,"Action, Comedy, Crime",30 min,8.3,"Stars: Bill Hader, Stephen Root, Sarah Goldberg, Anthony Carrigan"
Bosch: Legacy,(2022– ),TV-MA,"Crime, Drama",50 min,8.7,"Stars: Titus Welliver, Mimi Rogers, Madison Lintz, Stephen A. Chang"
Breaking Bad,(2008–2013),TV-MA,"Crime, Drama, Thriller",49 min,9.5,"Stars: Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brandt"
We Own This City,(2022),TV-MA,"Biography, Crime, Drama",357 min,7.7,"Stars: Jon Bernthal, Wunmi Mosaku, Jamie Hector, Josh Charles"
Under the Banner of Heaven,(2022),TV-MA,"Crime, Drama, Mystery",60 min,7.6,"Stars: Andrew Garfield, Sam Worthington, Daisy Edgar-Jones, Denise Gough"
Peaky Blinders,(2013–2022),TV-MA,"Crime, Drama",60 min,8.8,"Stars: Cillian Murphy, Paul Anderson, Sophie Rundle, Helen McCrory"
The Blacklist,(2013– ),TV-14,"Crime, Drama, Mystery",43 min,8.0,"Stars: James Spader, Megan Boone, Diego Klattenhoff, Ryan Eggold"
Candy,(2022),TV-MA,"Biography, Crime, Drama",257 min,7.2,"Stars: Jessica Biel, Melanie Lynskey, Pablo Schreiber, Timothy Simons"
Death on the Nile,(2022),PG-13,"Crime, Drama, Mystery",127 min,6.3,"Director: Kenneth Branagh | Stars: Tom Bateman, Annette Bening, Kenneth Branagh, Russell Brand"
NCIS,(2003– ),TV-14,"Action, Crime, Drama",60 min,7.8,"Stars: Mark Harmon, David McCallum, Sean Murray, Pauley Perrette"
The Godfather,(1972),R,"Crime, Drama",175 min,9.2,"Director: Francis Ford Coppola | Stars: Marlon Brando, Al Pacino, James Caan, Diane Keaton"
Shining Girls,(2022– ),TV-MA,"Crime, Drama, Mystery",54 min,7.4,"Stars: Elisabeth Moss, Wagner Moura, Phillipa Soo, Chris Chalk"
The Bad Guys,(2022),PG,"Animation, Adventure, Comedy",100 min,6.9,"Director: Pierre Perifel | Stars: Sam Rockwell, Marc Maron, Awkwafina, Craig Robinson"
Goodfellas,(1990),R,"Biography, Crime, Drama",145 min,8.7,"Director: Martin Scorsese | Stars: Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco"
Ambulance,(2022),R,"Action, Crime, Drama",136 min,6.1,"Director: Michael Bay | Stars: Jake Gyllenhaal, Yahya Abdul-Mateen II, Eiza González, Garret Dillahunt"
Criminal Minds,(2005–2020),TV-14,"Crime, Drama, Mystery",42 min,8.1,"Stars: Matthew Gray Gubler, Kirsten Vangsness, A.J. Cook, Joe Mantegna"
The Sopranos,(1999–2007),TV-MA,"Crime, Drama",55 min,9.2,"Stars: James Gandolfini, Lorraine Bracco, Edie Falco, Michael Imperioli"
Law & Order: Special Victims Unit,(1999– ),TV-14,"Crime, Drama, Mystery",60 min,8.1,"Stars: Mariska Hargitay, Christopher Meloni, Ice-T, Dann Florek"
The Rookie,(2018– ),TV-14,"Crime, Drama",43 min,8.0,"Stars: Nathan Fillion, Alyssa Diaz, Richard T. Jones, Melissa O'Neil"
The Wire,(2002–2008),TV-MA,"Crime, Drama, Thriller",59 min,9.3,"Stars: Dominic West, Lance Reddick, Sonja Sohn, Wendell Pierce"
Ms. Marvel,(2022– ),TV-PG,"Action, Adventure, Comedy",,6.1,"Stars: Iman Vellani, Alysia Reiner, Matt Lintz, Yasmeen Fletcher"
Midsomer Murders,(1997– ),TV-14,"Crime, Drama, Mystery",90 min,7.9,"Stars: John Nettles, Jane Wymark, Barry Jackson, Neil Dudgeon"
Silent Witness,(1996– ),TV-14,"Crime, Drama, Mystery",120 min,7.9,"Stars: Emilia Fox, William Gaminara, David Caves, Tom Ward"
Tokyo Vice,(2022– ),TV-MA,"Crime, Drama, Thriller",,8.1,"Stars: Ansel Elgort, Ken Watanabe, Rachel Keller, Shô Kasamatsu"
Bosch,(2014–2021),TV-MA,"Crime, Drama",51 min,8.5,"Stars: Titus Welliver, Jamie Hector, Amy Aquino, Lance Reddick"
The Lincoln Lawyer,(2011),R,"Crime, Drama, Mystery",118 min,7.3,"Director: Brad Furman | Stars: Matthew McConaughey, Marisa Tomei, Ryan Phillippe, William H. Macy"
True Detective,(2014–2019),TV-MA,"Crime, Drama, Mystery",55 min,8.9,"Stars: Vince Vaughn, Colin Farrell, Rachel McAdams, Taylor Kitsch"
Who Killed Sara?,(2021–2022),TV-MA,"Crime, Drama, Mystery",,6.4,"Stars: Manolo Cardona, Ginés García Millán, Carolina Miranda, Eugenio Siller"
Lucifer,(2016–2021),TV-14,"Crime, Drama, Fantasy",42 min,8.1,"Stars: Tom Ellis, Lauren German, Kevin Alejandro, D.B. Woodside"
Mayans M.C.,(2018– ),TV-MA,"Crime, Drama, Thriller",60 min,7.5,"Stars: JD Pardo, Clayton Cardenas, Sarah Bolger, Michael Irby"
Brooklyn Nine-Nine,(2013–2021),TV-14,"Comedy, Crime",22 min,8.4,"Stars: Andy Samberg, Stephanie Beatriz, Terry Crews, Melissa Fumero"
Law & Order,(1990– ),TV-14,"Crime, Drama, Mystery",45 min,7.8,"Stars: Jerry Orbach, Jesse L. Martin, Dennis Farina, S. Epatha Merkerson"
Castle,(2009–2016),TV-14,"Comedy, Crime, Drama",43 min,8.1,"Stars: Nathan Fillion, Stana Katic, Susan Sullivan, Jon Huertas"
Wrong Side of the Tracks,(2021– ),TV-MA,"Action, Adventure, Crime",79 min,6.8,"Stars: Jose Coronado, Nona Sobo, Felipe Londoño, Laura Ramos"
The Mentalist,(2008–2015),TV-14,"Crime, Drama, Mystery",43 min,8.1,"Stars: Simon Baker, Robin Tunney, Tim Kang, Owain Yeoman"
Tehran,(2020– ),TV-MA,"Action, Crime, Drama",45 min,7.5,"Stars: Niv Sultan, Shaun Toub, Shervin Alenabi, Arash Marandi"
The Gentlemen,(2019),R,"Action, Comedy, Crime",113 min,7.8,"Director: Guy Ritchie | Stars: Matthew McConaughey, Charlie Hunnam, Michelle Dockery, Jeremy Strong"
Riverdale,(2017–2023),TV-14,"Crime, Drama, Mystery",45 min,6.7,"Stars: Lili Reinhart, Camila Mendes, Cole Sprouse, K.J. Apa"
Reacher,(2022– ),TV-MA,"Action, Crime, Drama",49 min,8.1,"Stars: Alan Ritchson, Malcolm Goodwin, Willa Fitzgerald, Hugh Thompson"
The Outfit,(2022),R,"Crime, Drama, Mystery",105 min,7.1,"Director: Graham Moore | Stars: Zoey Deutch, Dylan O'Brien, Mark Rylance, Johnny Flynn"
Chicago P.D.,(2014– ),TV-14,"Action, Crime, Drama",43 min,8.1,"Stars: Jason Beghe, Jesse Lee Soffer, Patrick John Flueger, Marina Squerciati"
Dark,(2017–2020),TV-MA,"Crime, Drama, Mystery",60 min,8.7,"Stars: Louis Hofmann, Karoline Eichhorn, Lisa Vicari, Maja Schöne"
Death in Paradise,(2011– ),TV-PG,"Comedy, Crime, Drama",60 min,7.8,"Stars: Elizabeth Bourgine, Don Warrington, Danny John-Jules, Tobi Bakare"
London Fields,(2018),R,"Crime, Mystery, Thriller",118 min,3.8,"Director: Mathew Cullen | Stars: Amber Heard, Theo James, Jaimie Alexander, Jason Isaacs"
